Entity,Year,Auunal Emission
Grenada,1964.0,21984.0
Grenada,2005.0,216176.0
Hungary,1982.0,8.660086E7
India,1973.0,2.0909504E8
Iraq,2022.0,1.790808E8
Ireland,1969.0,1.8494394E7
Ireland,1972.0,2.2036418E7
Italy,1964.0,1.7572107E8
Jordan,1965.0,1420414.0
Kenya,1976.0,4602715.0
Laos,2002.0,1165768.0
Australia,1950.0,5.5738172E7
Albania,1963.0,2080617.0
Algeria,1957.0,5537086.0
Anguilla,2007.0,124576.0
Anguilla,2014.0,120912.0
Antigua and Barbuda,2003.0,428688.0
Asia (excl. China and India),1959.0,5.517883E8
Asia (excl. China and India),1988.0,3.2714744E9
Asia (excl. China and India),1996.0,4.2644572E9
Austria,1962.0,3.3864984E7
Austria,1978.0,5.7226484E7
Bahrain,2001.0,1.5374893E7
Bangladesh,1952.0,1295057.0
Belize,1979.0,208848.0
Bonaire Sint Eustatius and Saba,1989.0,60375.0
Bulgaria,2009.0,4.5759652E7
Cambodia,1973.0,128639.0
Cambodia,1979.0,29312.0
Cambodia,1995.0,1555486.0
Cambodia,2002.0,2205728.0
Central America (GCP),1987.0,9.1277176E7
Colombia,1995.0,5.9420744E7
Congo,1955.0,135060.0
Cook Islands,1979.0,25648.0
Cuba,1991.0,2.7170202E7
Egypt,1981.0,5.0902684E7
Estonia,1965.0,1.9199664E7
Europe (GCP),1952.0,2.7140442E9
Europe (excl. EU-27),1987.0,3.985845E9
Gambia,1985.0,172208.0
Germany,2022.0,6.656047E8
Ghana,1983.0,3559626.0
Grenada,1999.0,194192.0
Guinea-Bissau,1959.0,14656.0
High-income countries,1960.0,6.197559E9
Hungary,1988.0,7.805478E7
International aviation,2008.0,4.500126E8
International shipping,1982.0,2.6696162E8
Israel,1996.0,5.193575E7
Kyrgyzstan,2006.0,5460630.0
Kyrgyzstan,2012.0,1.0086689E7
Djibouti,1951.0,25648.0
Africa (GCP),1984.0,6.4932134E8
Andorra,2012.0,487312.0
Angola,1978.0,5399808.0
Angola,2001.0,1.5908461E7
Armenia,1966.0,4387287.0
Asia (GCP),2002.0,8.590895E9
Asia (GCP),2005.0,1.0832524E10
Asia (excl. China and India),2006.0,5.6030776E9
Barbados,1962.0,260144.0
Bhutan,1976.0,3664.0
Bonaire Sint Eustatius and Saba,1995.0,62254.0
Brazil,2009.0,3.89775E8
Cape Verde,1973.0,62229.0
Chad,2020.0,2279219.0
Colombia,1971.0,3.0281416E7
Costa Rica,1975.0,2035847.0
Cuba,2012.0,2.9838558E7
Cuba,2016.0,2.8171536E7
Denmark,1993.0,6.0573716E7
Djibouti,1980.0,348080.0
Dominica,2015.0,175872.0
El Salvador,2022.0,7714380.0
Europe (excl. EU-27),1988.0,4.0650693E9
Europe (excl. EU-27),1992.0,3.419127E9
Europe (excl. EU-28),1964.0,1.5880278E9
Gabon,2016.0,6521700.0
Germany,1966.0,9.51422E8
Ghana,1969.0,1687473.0
Greenland,1967.0,417696.0
Grenada,1988.0,95264.0
Guatemala,2016.0,1.6926494E7
Guinea-Bissau,1994.0,183200.0
Hungary,1959.0,4.190304E7
Hungary,2009.0,5.154225E7
Indonesia,1968.0,2.7562608E7
International aviation,1985.0,1.1776646E8
International aviation,2019.0,6.285075E8
Iran,2015.0,6.315812E8
Iraq,1989.0,7.224182E7
Kenya,2011.0,1.3447592E7
Kiribati,2009.0,47632.0
Kuwait,2016.0,1.0912634E8
Algeria,1959.0,5657017.0
Algeria,2020.0,1.6989277E8
Anguilla,1994.0,54960.0
Antigua and Barbuda,2019.0,641200.0
Armenia,1956.0,2464119.0
Asia (GCP),1990.0,5.766321E9
Asia (GCP),2019.0,1.819026E10
Australia,1986.0,2.2404029E8
Bangladesh,1975.0,4856723.0
Barbados,1955.0,128240.01
Bhutan,1959.0,0.0
Bonaire Sint Eustatius and Saba,1979.0,114754.0
Bonaire Sint Eustatius and Saba,1986.0,36216.0
Brazil,1996.0,2.89311E8
British Virgin Islands,1988.0,65952.0
Bulgaria,1952.0,9428402.0
Burundi,1984.0,219840.0
Cameroon,1970.0,637417.0
Cape Verde,2003.0,414032.0
Central African Republic,1988.0,230832.0
Chad,1963.0,91600.0
Curacao,2022.0,1756690.0
Cyprus,1980.0,3260647.0
Denmark,1976.0,6.005695E7
East Timor,2007.0,288067.0
Egypt,1958.0,1.3682583E7
Eswatini,1952.0,3664.0
Europe (GCP),1965.0,4.981611E9
Faroe Islands,1967.0,168544.0
Faroe Islands,1993.0,582576.0
Finland,1964.0,2.2827688E7
Finland,1995.0,5.8116E7
Georgia,2000.0,4500388.0
Greece,1967.0,1.950419E7
Haiti,1955.0,267353.0
India,2004.0,1.1250963E9
Iran,1957.0,2.1799522E7
Italy,1965.0,1.8952838E8
Jamaica,1987.0,5379035.0
Laos,1998.0,820068.0
Eswatini,1950.0,3664.0
High-income countries,1950.0,4.692989E9
Anguilla,2008.0,124576.0
Anguilla,2009.0,124576.0
Antigua and Barbuda,2012.0,556928.0
Armenia,1964.0,3912899.0
Aruba,2001.0,2407248.0
Australia,2015.0,4.0137837E8
Bangladesh,1957.0,1688719.0
Bangladesh,1968.0,3865666.0
Belarus,1972.0,7.3492616E7
Belize,1969.0,135568.0
Brunei,1979.0,7434256.0
Burundi,1995.0,238160.0
Cambodia,1987.0,436016.0
Central African Republic,2006.0,227168.0
China,1952.0,1.2799933E8
Colombia,1980.0,4.417424E7
Colombia,2015.0,9.677422E7
Comoros,1963.0,10992.0
Comoros,1982.0,47632.0
Cote d'Ivoire,1999.0,6091911.0
Curacao,1969.0,1.2497799E7
Curacao,2011.0,5172702.0
Cyprus,1959.0,831401.0
Denmark,1971.0,5.7000676E7
Dominica,1959.0,10992.0
El Salvador,1996.0,4414490.0
Equatorial Guinea,1980.0,58624.0
Ethiopia,1994.0,2197201.0
Europe (GCP),2001.0,6.2822554E9
Europe (excl. EU-28),2012.0,2.2535188E9
European Union (28),1978.0,4.608378E9
Germany,1968.0,9.8479085E8
Ghana,1968.0,1761463.0
Guinea,2019.0,3920951.0
Hungary,1993.0,6.3558412E7
Iceland,1996.0,2523724.0
International aviation,2015.0,5.2538355E8
International shipping,1967.0,3.279962E8
Iran,1999.0,3.7197392E8
Jamaica,1965.0,2988577.0
Jordan,1983.0,7299946.0
Jordan,2020.0,2.1128764E7
Bahamas,1950.0,54960.0
Africa (GCP),1978.0,4.6248704E8
Albania,1998.0,1754709.0
Algeria,1956.0,4995053.0
Angola,1953.0,274681.0
Angola,1971.0,3405383.0
Belarus,1958.0,3.6758984E7
Belize,1965.0,84272.0
Bulgaria,1988.0,8.691333E7
Burkina Faso,2016.0,3903988.0
Cambodia,1970.0,1172331.0
Canada,2019.0,5.785877E8
Central African Republic,1952.0,81297.0
Central African Republic,1982.0,142896.0
Central America (GCP),2007.0,1.682301E8
Central America (GCP),2012.0,1.719809E8
China,2017.0,1.0011151E10
Curacao,1977.0,9583390.0
Denmark,1999.0,5.8652804E7
Djibouti,2015.0,431641.0
Equatorial Guinea,1992.0,65952.0
Eswatini,1969.0,304112.0
Eswatini,2017.0,985616.0
Europe (excl. EU-27),1976.0,3.3653238E9
Europe (excl. EU-27),1986.0,3.9968952E9
Gabon,1996.0,5885637.0
Gambia,2016.0,589904.0
Georgia,1992.0,1.5276915E7
Greenland,1996.0,596899.0
Grenada,2010.0,260144.0
Guatemala,2015.0,1.5951887E7
Guyana,1968.0,1330032.0
Honduras,1965.0,750734.0
Honduras,1987.0,2144191.0
International aviation,2001.0,3.3251872E8
International shipping,1968.0,3.42425E8
Iran,1991.0,2.2183392E8
Ireland,1957.0,9718482.0
Italy,1982.0,3.6687904E8
Italy,1998.0,4.6164672E8
Japan,1995.0,1.2390481E9
Kenya,1971.0,3679252.0
Greenland,1950.0,98928.0
Albania,1976.0,4947198.0
Andorra,1960.0,0.0
Angola,1967.0,991815.0
Argentina,2006.0,1.7420992E8
Aruba,1964.0,660275.0
Azerbaijan,1969.0,2.9583094E7
Bahamas,2009.0,2154432.0
Belize,2008.0,436016.0
Benin,1991.0,619650.0
Bhutan,1974.0,3664.0
Bosnia and Herzegovina,1975.0,1.3788474E7
Brunei,1996.0,5878721.0
Bulgaria,1962.0,3.0704012E7
Burundi,2008.0,208848.0
Cambodia,1976.0,73996.0
Canada,1992.0,4.6401283E8
Cape Verde,1965.0,25589.0
Chile,1964.0,1.7505144E7
Cyprus,1967.0,1362265.0
Cyprus,2021.0,7029358.0
Denmark,2015.0,3.5110572E7
East Timor,2010.0,313134.0
Ecuador,1961.0,1644245.0
Ecuador,1963.0,1794320.0
El Salvador,1956.0,527349.0
Equatorial Guinea,2010.0,6402228.0
Europe,1952.0,2.7140444E9
European Union (27),2014.0,3.0415813E9
Faroe Islands,2000.0,688832.0
Gabon,2015.0,6475558.0
Guatemala,2022.0,1.9193244E7
Guinea,1995.0,1165152.0
Guyana,2013.0,1905280.0
Ireland,1963.0,1.3447305E7
Ireland,2001.0,4.760762E7
Jordan,1981.0,5825183.0
Kazakhstan,1997.0,1.4642538E8
Asia,1950.0,4.0053866E8
Belgium,1951.0,8.9449784E7
Afghanistan,1968.0,1223391.0
Andorra,1953.0,0.0
Bahamas,2005.0,1905280.0
Bahrain,2004.0,1.7883504E7
Bahrain,2021.0,3.8122464E7
Bangladesh,1985.0,1.0189161E7
Barbados,1998.0,1572115.0
Belgium,1989.0,1.0679208E8
Belize,1977.0,197856.0
Benin,2005.0,2489730.0
Bermuda,2014.0,670512.0
Bhutan,1990.0,185730.0
Bolivia,1984.0,4029341.2
Brazil,2010.0,4.4026902E8
Brunei,2005.0,5428519.0
Bulgaria,1955.0,1.2091595E7
Bulgaria,2000.0,4.5413456E7
Cameroon,1959.0,278434.0
Canada,1964.0,2.3757773E8
Chad,1985.0,179536.0
China,2020.0,1.0914012E10
Comoros,2015.0,179536.0
Congo,1996.0,4037411.2
Cote d'Ivoire,1989.0,8265983.5
Cote d'Ivoire,2004.0,7386261.0
Czechia,1967.0,1.2127852E8
Democratic Republic of Congo,2003.0,2096180.0
Denmark,1952.0,2.289876E7
Equatorial Guinea,2008.0,5941702.0
Europe (excl. EU-27),2012.0,2.7409958E9
European Union (27),2006.0,3.7445274E9
European Union (28),1997.0,4.218243E9
Faroe Islands,1963.0,124576.0
Germany,2010.0,8.311296E8
Grenada,2013.0,304112.0
Grenada,2018.0,307776.0
High-income countries,2015.0,1.3605319E10
Iceland,2009.0,3731080.0
Iraq,1977.0,4.3629544E7
Italy,1969.0,2.69661E8
Kenya,1997.0,8210108.0
Afghanistan,1951.0,91600.0
Argentina,1951.0,3.4962916E7
Finland,1950.0,6544565.0
Japan,1951.0,1.2345765E8
Afghanistan,2012.0,1.0035314E7
Antarctica,2007.0,10992.0
Argentina,1980.0,1.0865613E8
Argentina,2016.0,1.8992045E8
Armenia,1977.0,7118719.0
Azerbaijan,1983.0,4.678447E7
Benin,2015.0,5328876.0
Bolivia,2004.0,1.1031935E7
Bulgaria,1954.0,1.139189E7
Cambodia,2014.0,6834254.0
Canada,1967.0,2.8163702E8
Canada,1975.0,3.9678678E8
Central America (GCP),1980.0,1.0037484E8
Cote d'Ivoire,2000.0,6633573.0
Democratic Republic of Congo,2010.0,2736942.0
Djibouti,1988.0,348080.0
Djibouti,2012.0,487312.0
Dominica,2022.0,153220.0
Dominican Republic,1952.0,593003.0
Equatorial Guinea,2000.0,2699265.0
Europe (excl. EU-27),1974.0,3.1541786E9
Europe (excl. EU-28),2019.0,2.167446E9
European Union (28),1973.0,4.3875005E9
Finland,2011.0,5.6638E7
Gabon,1999.0,6014019.0
Ghana,1979.0,2594790.0
Guatemala,1979.0,4678019.0
Honduras,1955.0,436016.0
Iceland,1991.0,2103614.0
Indonesia,2010.0,4.4580608E8
Iran,2019.0,6.946665E8
Kazakhstan,1974.0,1.8921576E8
Kenya,1988.0,4784129.0
Kyrgyzstan,1961.0,8597262.0
Central African Republic,1951.0,62687.004
European Union (28),1951.0,1.9749576E9
Georgia,1951.0,2983914.0
Afghanistan,1989.0,2764855.0
Andorra,1979.0,0.0
Antigua and Barbuda,1970.0,461664.0
Asia (GCP),1965.0,1.477277E9
Australia,1956.0,7.548241E7
Belgium,1994.0,1.24796744E8
Bermuda,1985.0,450672.0
Bhutan,1962.0,0.0
Bhutan,2017.0,1341511.0
Brazil,2008.0,4.12638E8
Brazil,2016.0,4.92748E8
Canada,2003.0,5.814272E8
Central America (GCP),1964.0,4.5138984E7
Comoros,1994.0,73280.0
Congo,1990.0,1007907.06
Cote d'Ivoire,1973.0,2876240.0
Cuba,2015.0,2.9468648E7
El Salvador,1960.0,618859.0
Equatorial Guinea,1963.0,25648.0
Europe (excl. EU-27),1998.0,2.5951278E9
European Union (28),1963.0,3.1155753E9
Fiji,1979.0,836456.0
Fiji,2008.0,846043.0
Fiji,2016.0,1259717.0
France,2019.0,3.1544973E8
Gambia,2018.0,648528.0
Grenada,1977.0,47632.0
Guatemala,1994.0,6751174.0
Guinea,1969.0,747456.0
High-income countries,2010.0,1.401361E10
Honduras,1998.0,4810582.0
Iceland,1974.0,1738479.0
International shipping,2003.0,4.6614614E8
International shipping,2007.0,6.0509395E8
Israel,1977.0,1.9765916E7
Italy,1981.0,3.7530013E8
Jamaica,1955.0,985170.0
Kyrgyzstan,1960.0,8335436.0
Laos,1960.0,80608.0
Albania,1962.0,2461733.0
Algeria,1991.0,7.880683E7
Armenia,1994.0,2684702.0
Asia,2011.0,1.7715628E10
Australia,1990.0,2.781603E8
Bahamas,1999.0,2033520.0
Belgium,1980.0,1.3483579E8
Belize,2000.0,395712.0
Benin,1977.0,296784.0
Benin,2017.0,6804151.0
Bolivia,2003.0,1.0968004E7
Brazil,1952.0,2.493431E7
Brazil,1968.0,7.722415E7
Brazil,1978.0,1.7711718E8
Chile,2020.0,8.017816E7
Congo,1982.0,1343102.0
Congo,2006.0,4785876.0
Costa Rica,2019.0,7698382.0
Cote d'Ivoire,1992.0,3843536.0
Czechia,1968.0,1.2687996E8
Djibouti,1986.0,377392.0
El Salvador,1966.0,1303819.0
Estonia,1953.0,8442477.0
Europe (excl. EU-27),2022.0,2.3434007E9
Europe (excl. EU-28),1984.0,3.1723748E9
Europe (excl. EU-28),2009.0,2.0682501E9
Finland,1954.0,9152148.0
Finland,1983.0,4.1463372E7
France,2022.0,2.9753392E8
French Polynesia,1985.0,589904.0
Georgia,1961.0,6064476.0
Georgia,2003.0,3731537.0
Germany,1957.0,7.7790765E8
Guinea,1999.0,1432624.0
Guinea-Bissau,1957.0,10992.0
Guyana,1990.0,1128512.0
Guyana,1994.0,1458272.0
High-income countries,2012.0,1.3749427E10
Iceland,1985.0,1622635.0
International aviation,1969.0,5.1963056E7
International shipping,1958.0,1.983257E8
International shipping,1976.0,3.5373782E8
Jamaica,1954.0,791038.0
Kenya,2006.0,9565541.0
Kosovo,2009.0,8109154.5
Hungary,1951.0,2.218535E7
Anguilla,2010.0,131904.0
Asia,1960.0,1.5381692E9
Asia (GCP),1952.0,4.8109456E8
Asia (excl. China and India),1964.0,9.06667E8
Azerbaijan,2019.0,3.7737896E7
Belgium,2000.0,1.26721544E8
Belgium,2021.0,9.566808E7
Bolivia,2002.0,1.0403424E7
Bonaire Sint Eustatius and Saba,1973.0,175390.0
Burkina Faso,1958.0,3664.0
Cape Verde,1984.0,84272.0
Central America (GCP),1983.0,8.639783E7
Costa Rica,1952.0,388384.0
Croatia,1990.0,2.2974684E7
Cuba,1994.0,2.1382318E7
Cyprus,1994.0,5991493.0
Czechia,2016.0,1.0668087E8
El Salvador,2008.0,6404717.0
Ethiopia,1967.0,1072958.0
Ethiopia,2003.0,4870232.0
European Union (27),1970.0,3.330682E9
Gambia,2022.0,770472.0
Georgia,2007.0,6361687.0
Ghana,1995.0,4623968.0
Greenland,1971.0,468992.0
Grenada,1965.0,21984.0
Grenada,2001.0,194192.0
Guyana,2001.0,1744064.0
Guyana,2016.0,2374679.0
Honduras,1997.0,4010334.0
Hong Kong,2008.0,4.2790584E7
Hungary,1953.0,3.1766266E7
International aviation,1961.0,1.8206044E7
Israel,1990.0,3.582436E7
Japan,1981.0,9.268355E8
Jordan,2022.0,2.2912578E7
Kenya,1975.0,4969218.0
Laos,1999.0,845838.0
Africa,2015.0,1.3197873E9
Albania,1960.0,2022231.1
Andorra,1973.0,0.0
Angola,2009.0,2.0668332E7
Asia (GCP),1997.0,7.589188E9
Bahrain,1968.0,1102864.0
Belize,1953.0,29312.0
Bonaire Sint Eustatius and Saba,2010.0,54346.0
Brazil,1970.0,9.34882E7
Cameroon,1985.0,6470624.0
Central African Republic,2007.0,230832.0
Chad,2001.0,505594.0
Chile,2010.0,7.134752E7
Colombia,1969.0,2.8016278E7
Cook Islands,1976.0,14656.0
Cook Islands,2019.0,84272.0
Croatia,1961.0,6087649.0
Czechia,2022.0,9.79693E7
Democratic Republic of Congo,2001.0,1647474.0
Djibouti,1970.0,139232.0
Dominica,2008.0,168544.0
Estonia,1973.0,2.7795136E7
Ethiopia,2020.0,1.7810122E7
Europe (excl. EU-27),1963.0,2.0972805E9
Europe (excl. EU-28),1962.0,1.3896293E9
European Union (27),1990.0,3.8704274E9
European Union (28),1961.0,2.7876004E9
Ghana,1964.0,1648800.0
Guatemala,1957.0,985230.0
Guatemala,1999.0,8805825.0
Guinea,2011.0,2594112.0
Iceland,1959.0,1238105.0
Iceland,1984.0,1809746.0
Iraq,2008.0,9.39382E7
Jamaica,2007.0,1.0749231E7
Japan,1959.0,1.9261998E8
Japan,1994.0,1.2267022E9
Jordan,1956.0,450345.0
Kuwait,2012.0,1.01766056E8
Latvia,1971.0,1.6609823E7
Antarctica,1987.0,3664.0
Bulgaria,1950.0,7497770.0
Kiribati,1962.0,10992.0
Afghanistan,1980.0,1756302.0
Algeria,2015.0,1.6008746E8
Angola,1966.0,1552466.0
Aruba,1968.0,634510.0
Bangladesh,1996.0,2.1492816E7
Bermuda,1969.0,197856.0
Bosnia and Herzegovina,1991.0,1.4069425E7
British Virgin Islands,1981.0,43968.0
Burundi,1973.0,73280.0
Burundi,1999.0,252815.98
Cameroon,1975.0,1160537.0
Chad,1972.0,120912.0
Chile,2004.0,5.9228428E7
Congo,1958.0,216466.0
Cote d'Ivoire,1961.0,553264.0
Cote d'Ivoire,2008.0,6712605.0
Cote d'Ivoire,2019.0,1.0535081E7
Cyprus,1991.0,5133205.0
Czechia,2007.0,1.283821E8
Czechia,2020.0,9.169737E7
Europe (excl. EU-27),2002.0,2.591092E9
French Polynesia,2020.0,846384.0
Gabon,1991.0,4521703.0
Gabon,1995.0,5220396.0
Georgia,1964.0,7286811.0
Greenland,2003.0,649303.0
Grenada,1973.0,54960.0
Guinea-Bissau,1970.0,69616.0
Guyana,1984.0,1403312.0
Iceland,2017.0,3612189.0
International aviation,1958.0,9580646.0
Israel,1963.0,8199567.0
Jamaica,1977.0,7440922.0
Japan,1974.0,9.1430624E8
Jordan,2000.0,1.5200204E7
Kiribati,1986.0,18320.0
Armenia,1950.0,1480408.0
China,1951.0,1.0211521E8
Greece,1950.0,4127723.2
Afghanistan,1977.0,2384175.0
Algeria,1992.0,7.988331E7
Antigua and Barbuda,1972.0,373728.0
Armenia,2006.0,4401590.0
Aruba,1952.0,372977.0
Asia (GCP),2012.0,1.6079691E10
Australia,2016.0,4.102536E8
Bahrain,1981.0,8518800.0
Bahrain,1988.0,1.2142559E7
Barbados,1960.0,172208.0
Belgium,1965.0,1.0533079E8
Benin,1953.0,107057.0
Bosnia and Herzegovina,2006.0,1.738682E7
Brazil,2011.0,4.6258E8
Brunei,1982.0,2664731.0
Burundi,1962.0,43968.0
Cambodia,1981.0,300448.0
Chad,1965.0,106256.0
Christmas Island,1976.0,124576.0
Colombia,1967.0,2.4686832E7
Cook Islands,1973.0,10992.0
Denmark,1979.0,6.290783E7
Estonia,1979.0,3.397384E7
Europe,2019.0,5.436361E9
Europe (GCP),1977.0,7.3332326E9
European Union (28),2007.0,4.2678113E9
French Polynesia,2017.0,861040.0
Georgia,1981.0,1.4034643E7
Greenland,1966.0,388384.0
Grenada,1978.0,51296.0
Guinea,1981.0,989280.0
Guyana,1962.0,677840.0
Haiti,1959.0,252667.02
High-income countries,1990.0,1.2408192E10
Hong Kong,1998.0,3.8924984E7
India,1955.0,7.878774E7
Indonesia,1971.0,3.8955264E7
International aviation,1986.0,1.2436389E8
International shipping,1998.0,4.319608E8
Italy,2013.0,3.7025354E8
Japan,1991.0,1.1688973E9
Bermuda,1951.0,58624.0
Botswana,1973.0,51296.0
Comoros,1959.0,10992.0
Congo,1950.0,88807.0
Cuba,1951.0,6469079.0
Europe (excl. EU-28),1951.0,6.553124E8
Hungary,1950.0,1.8390042E7
Argentina,1981.0,1.0196854E8
Australia,1960.0,8.7444264E7
Bahamas,1994.0,1769712.0
Bahrain,1958.0,1289728.0
Benin,1986.0,624003.0
Bolivia,1977.0,4474857.0
Bosnia and Herzegovina,1958.0,4304908.0
Bosnia and Herzegovina,1999.0,1.0333251E7
Burkina Faso,1974.0,205184.0
Burundi,2022.0,798451.0
Cape Verde,1999.0,289456.0
Central America (GCP),1994.0,9.429859E7
Congo,1974.0,1623152.0
Cuba,1958.0,1.7994686E7
Cyprus,1962.0,904622.0
European Union (27),1991.0,3.8045576E9
European Union (28),1999.0,4.1520102E9
European Union (28),2001.0,4.2362358E9
Finland,1971.0,4.053676E7
France,1953.0,2.1454821E8
France,1989.0,3.9961955E8
Gabon,2021.0,5880372.0
Ghana,1966.0,1439952.0
Greenland,2004.0,639502.0
Greenland,2019.0,555414.0
Guinea-Bissau,1967.0,47632.0
Haiti,1989.0,1023120.06
Haiti,2005.0,1724339.0
High-income countries,2005.0,1.4504174E10
Hong Kong,2009.0,4.15794E7
Hong Kong,2021.0,3.2775524E7
India,1956.0,8.165637E7
Indonesia,1991.0,1.7486501E8
International shipping,1969.0,3.6244173E8
International shipping,2001.0,4.465486E8
Japan,1969.0,6.532154E8
Jordan,2002.0,1.6420437E7
Belarus,1950.0,1.886548E7
Cote d'Ivoire,1951.0,460931.0
Estonia,1951.0,7450483.0
Africa,1964.0,1.9363933E8
Andorra,2003.0,534944.0
Angola,1996.0,1.5248957E7
Asia (GCP),1963.0,1.2996417E9
Asia (excl. China and India),1953.0,3.376155E8
Bahamas,1953.0,80608.0
Bermuda,1963.0,150224.0
Brazil,1999.0,3.27256E8
British Virgin Islands,1975.0,25648.0
Bulgaria,1999.0,4.6318476E7
Burkina Faso,1967.0,102592.0
Comoros,1977.0,40304.0
Cuba,1965.0,1.4594137E7
Cuba,1990.0,2.964842E7
Cuba,2022.0,2.0921022E7
Democratic Republic of Congo,1990.0,4248965.0
Dominican Republic,2003.0,2.1345008E7
El Salvador,1994.0,4512672.0
Ethiopia,1954.0,271016.0
Ethiopia,1962.0,395534.0
European Union (28),2011.0,3.8006267E9
Finland,2019.0,4.2454E7
Gabon,1987.0,4009482.0
Gambia,1953.0,10992.0
Gambia,1997.0,223504.0
Gambia,2002.0,296784.0
Georgia,1962.0,6373661.0
Grenada,1991.0,109920.0
Guatemala,1996.0,6571124.0
Haiti,1972.0,391721.0
Iceland,1964.0,1307601.0
Italy,1990.0,4.389043E8
Italy,1997.0,4.4943094E8
Kenya,1973.0,3914027.0
Laos,1981.0,150224.0
Burkina Faso,1951.0,3389.0
Colombia,1951.0,8164442.0
Africa (GCP),1987.0,6.8969965E8
Andorra,1990.0,406704.0
Angola,1999.0,1.7261278E7
Austria,1996.0,6.738856E7
Bahrain,1977.0,7463568.0
Bangladesh,1998.0,2.31978E7
Barbados,1985.0,845711.0
Belize,1967.0,120912.0
Belize,2013.0,439680.0
Bonaire Sint Eustatius and Saba,1968.0,127995.0
Brunei,1995.0,5825335.0
Bulgaria,1979.0,7.89279E7
